"id","name","adminCode","latitude","longitude","population","country"
2803560,Zwickau,13,50.72724,12.48839,98796,DE
649360,Lahti,07,60.98267,25.66151,98826,FI
498687,Sarapul,80,56.47633,53.79782,98830,RU
2505629,Barika,03,35.38901,5.36584,98846,DZ
746881,Giresun,28,40.91698,38.38741,98864,TR
3471196,Bagé,23,-31.33139,-54.10694,98940,BR
1803245,Lishui,02,28.46042,119.91029,98946,CN
2033766,Xingcheng,19,40.61667,120.71667,98968,CN
5133825,Richmond Hill,NY,40.69983,-73.83125,98984,US
3449948,Santana de Parnaíba,27,-23.44417,-46.91778,98989,BR
5139656,Steuben County,NY,42.26781,-77.3838,98990,US
1269562,Jagtiāl,40,18.79473,78.91661,99035,IN
3181913,Bolzano,17,46.49067,11.33982,99049,IT
4780011,Portsmouth Heights,VA,36.82098,-76.36883,99049,US
3691582,Talara,20,-4.57722,-81.27194,99074,PE
1336136,Bhola,85,22.68759,90.64403,99079,BD
1258474,Rānībennur,19,14.62239,75.62951,99105,IN
2633521,Worthing,ENG,50.81795,-0.37538,99110,GB
888710,Kwekwe,02,-18.92809,29.81486,99149,ZW
6324733,St. John's,05,47.56494,-52.70931,99182,CA
3447651,Sertãozinho,27,-21.13778,-47.99028,99211,BR
304854,Manavgat,07,36.78667,31.44306,99254,TR
141736,Bam,29,29.106,58.357,99268,IR
63795,Burao,19,9.52213,45.53363,99270,SO
1256913,Sehore,35,23.2,77.08333,99284,IN
935221,Saint-Paul,RE,-21.00963,55.27071,99307,RE
6166142,Thunder Bay,08,48.38202,-89.25018,99334,CA
265488,Acharnés,ESYE31,38.08333,23.73333,99346,GR
2454268,Koutiala,06,12.39173,-5.46421,99353,ML
360716,Al Maţarīyah,01,31.18287,32.03108,99357,EG
3444866,Votorantim,27,-23.54667,-47.43778,99390,BR
2035801,Meihekou,05,42.52722,125.67528,99419,CN
361661,Akhmīm,24,26.56217,31.74503,99446,EG
1267588,Kāsganj,36,27.80882,78.64579,99462,IN
1857327,Mihara Shi,11,34.45817,133.00395,99466,JP
5188843,Erie,PA,42.12922,-80.08506,99475,US
1861795,Ikeda,32,34.82208,135.4298,99476,JP
517963,Novoshakhtinsk,61,47.76037,39.93335,99478,RU
2487772,Messaad,22,34.15429,3.50309,99485,DZ
3098218,Grudziądz,73,53.48411,18.75366,99486,PL
3460960,Itabira,15,-19.61917,-43.22694,99496,BR
107797,Dhahran,06,26.28864,50.11396,99540,SA
463835,Zelenodolsk,73,55.84376,48.51784,99600,RU
4352053,Columbia,MD,39.24038,-76.83942,99615,US
1256529,Shikohābād,36,27.108,78.58661,99678,IN
5133166,Putnam County,NY,41.42666,-73.74951,99710,US
1278715,Amreli,09,21.59983,71.21169,99742,IN
4989133,Clinton Township,MI,42.58698,-82.91992,99753,US
1812256,Dongsheng,20,39.81609,109.97763,99809,CN
1611269,Chanthaburi,48,12.60961,102.10447,99819,TH
1849563,Tsuruoka,44,38.72167,139.82167,99820,JP
3440714,Salto,15,-31.38333,-57.96667,99823,UY
8604686,Politischer Bezirk Bruck-Mürzzuschlag,06,47.4188,15.27512,99834,AT
5258393,Kenosha,WI,42.58474,-87.82119,99858,US
4782167,Roanoke,VA,37.27097,-79.94143,99897,US
7649052,Tano North,12,7.201,-2.18265,99969,GH
7648997,Kintampo South District,14,7.9,-1.76667,99969,GH
2210394,Tagiura,77,32.88167,13.35056,100000,LY
483826,Tekstil’shchiki,48,55.70033,37.74271,100000,RU
293253,Jaffa,05,32.05043,34.75224,100000,IL
3569370,Alamar,02,23.15794,-82.27837,100000,CU
7280711,Colonia Lindavista,15,19.49156,-99.12475,100000,MX
2486690,M’Sila,27,35.70583,4.54194,100000,DZ
706950,Kamianets-Podilskyi,09,48.6845,26.58559,100000,UA
3189595,Subotica,VO,46.1,19.66667,100000,RS
6690870,Becontree,ENG,51.5529,0.129,100000,GB
1802171,Kangding,32,30.00222,101.9569,100000,CN
3618929,Jinotega,07,13.08881,-86.00105,100000,NI
